Negara,Region,Tahun,CO2
Oman,Timur Tengah,2012,76.7
Oman,Timur Tengah,2013,87.8
Oman,Timur Tengah,2014,87.4
Oman,Timur Tengah,2015,91.8
Oman,Timur Tengah,2016,94.2
Oman,Timur Tengah,2017,95.9
Oman,Timur Tengah,2018,99.9
Oman,Timur Tengah,2019,99.8
Oman,Timur Tengah,2020,94.6
Oman,Timur Tengah,2021,102.6
Oman,Timur Tengah,2022,106.8
Qatar,Timur Tengah,2011,95.2
Qatar,Timur Tengah,2012,111.9
Qatar,Timur Tengah,2013,125.1
Qatar,Timur Tengah,2014,134.5
Qatar,Timur Tengah,2015,148.0
Qatar,Timur Tengah,2016,147.9
Qatar,Timur Tengah,2017,140.0
Qatar,Timur Tengah,2018,143.3
Qatar,Timur Tengah,2019,148.8
Qatar,Timur Tengah,2020,130.4
Qatar,Timur Tengah,2021,138.4
Qatar,Timur Tengah,2022,134.6
Arab Saudi,Timur Tengah,2011,577.4
Arab Saudi,Timur Tengah,2012,612.3
Arab Saudi,Timur Tengah,2013,629.1
Arab Saudi,Timur Tengah,2014,669.7
Arab Saudi,Timur Tengah,2015,709.0
Arab Saudi,Timur Tengah,2016,745.8
Arab Saudi,Timur Tengah,2017,734.5
Arab Saudi,Timur Tengah,2018,719.1
Arab Saudi,Timur Tengah,2019,680.3
Arab Saudi,Timur Tengah,2020,659.3
Arab Saudi,Timur Tengah,2021,675.8
Arab Saudi,Timur Tengah,2022,724.0
Mesir,Afrika,2011,235.2
Mesir,Afrika,2012,244.2
Mesir,Afrika,2013,248.5
Mesir,Afrika,2014,248.7
Mesir,Afrika,2015,251.9
Mesir,Afrika,2016,265.9
Mesir,Afrika,2017,269.7
Mesir,Afrika,2018,266.5
Mesir,Afrika,2019,258.2
Mesir,Afrika,2020,249.7
Mesir,Afrika,2021,268.0
Mesir,Afrika,2022,284.3
Maroko,Afrika,2011,58.3
Maroko,Afrika,2012,60.0
Maroko,Afrika,2013,60.6
Maroko,Afrika,2014,61.9
Maroko,Afrika,2015,62.2
Maroko,Afrika,2016,62.5
Maroko,Afrika,2017,65.3
Maroko,Afrika,2018,66.8
Maroko,Afrika,2019,73.0
Maroko,Afrika,2020,66.7
Maroko,Afrika,2021,74.2
Maroko,Afrika,2022,71.7
Afrika Selatan,Afrika,2011,503.2
Afrika Selatan,Afrika,2012,499.6
Afrika Selatan,Afrika,2013,501.2
Afrika Selatan,Afrika,2014,506.0
Afrika Selatan,Afrika,2015,494.0
Afrika Selatan,Afrika,2016,513.0
Afrika Selatan,Afrika,2017,508.8
Afrika Selatan,Afrika,2018,490.9
Afrika Selatan,Afrika,2019,513.1
Afrika Selatan,Afrika,2020,483.6
Afrika Selatan,Afrika,2021,473.6
Afrika Selatan,Afrika,2022,456.2
Kenya,Afrika,2011,94.5
Kenya,Afrika,2012,96.6
Kenya,Afrika,2013,109.3
Kenya,Afrika,2014,123.3
Kenya,Afrika,2015,128.7
Kenya,Afrika,2016,127.4
Kenya,Afrika,2017,137.5
Kenya,Afrika,2018,143.3
Kenya,Afrika,2019,143.5
Kenya,Afrika,2020,134.7
Kenya,Afrika,2021,143.8
Kenya,Afrika,2022,149.4
Aljazair,Afrika,2011,178.8
Aljazair,Afrika,2012,190.2
Aljazair,Afrika,2013,206.7
Aljazair,Afrika,2014,219.1
Aljazair,Afrika,2015,225.7
Aljazair,Afrika,2016,228.8
Aljazair,Afrika,2017,231.6
Aljazair,Afrika,2018,239.5
Aljazair,Afrika,2019,243.2
Aljazair,Afrika,2020,229.2
Aljazair,Afrika,2021,247.4
Aljazair,Afrika,2022,246.0
Nigeria,Afrika,2011,187.1
Nigeria,Afrika,2012,187.6
Nigeria,Afrika,2013,181.8
Nigeria,Afrika,2014,180.3
Nigeria,Afrika,2015,194.6
Nigeria,Afrika,2016,195.5
Nigeria,Afrika,2017,206.7
Nigeria,Afrika,2018,225.6
Nigeria,Afrika,2019,235.2
Nigeria,Afrika,2020,232.1
Nigeria,Afrika,2021,239.7
Nigeria,Afrika,2022,237.3
Australia,Asia Pasifik,2011,453.7
Australia,Asia Pasifik,2012,446.6
Australia,Asia Pasifik,2013,448.3
Australia,Asia Pasifik,2014,456.4
Australia,Asia Pasifik,2015,467.0
Australia,Asia Pasifik,2016,464.5
Australia,Asia Pasifik,2017,464.3
Australia,Asia Pasifik,2018,462.9
Australia,Asia Pasifik,2019,472.5
Australia,Asia Pasifik,2020,441.1
Australia,Asia Pasifik,2021,431.1
Australia,Asia Pasifik,2022,437.0
Indonesia,Asia Pasifik,2011,584.5
Indonesia,Asia Pasifik,2012,609.2
Indonesia,Asia Pasifik,2013,578.8
Indonesia,Asia Pasifik,2014,586.4
Indonesia,Asia Pasifik,2015,595.7
Indonesia,Asia Pasifik,2016,596.0
Indonesia,Asia Pasifik,2017,617.1
Indonesia,Asia Pasifik,2018,663.9
Indonesia,Asia Pasifik,2019,712.4
Indonesia,Asia Pasifik,2020,651.5
Indonesia,Asia Pasifik,2021,657.3
Indonesia,Asia Pasifik,2022,839.6
Korea Selatan,Asia Pasifik,2011,642.4
Korea Selatan,Asia Pasifik,2012,641.5
Korea Selatan,Asia Pasifik,2013,649.0
Korea Selatan,Asia Pasifik,2014,644.1
Korea Selatan,Asia Pasifik,2015,652.1
Korea Selatan,Asia Pasifik,2016,663.5
Korea Selatan,Asia Pasifik,2017,671.7
Korea Selatan,Asia Pasifik,2018,687.3
Korea Selatan,Asia Pasifik,2019,663.7
Korea Selatan,Asia Pasifik,2020,614.4
Korea Selatan,Asia Pasifik,2021,630.3
Korea Selatan,Asia Pasifik,2022,618.2
Malaysia,Asia Pasifik,2011,229.8
Malaysia,Asia Pasifik,2012,248.5
Malaysia,Asia Pasifik,2013,260.2
Malaysia,Asia Pasifik,2014,271.5
Malaysia,Asia Pasifik,2015,275.5
Malaysia,Asia Pasifik,2016,280.1
Malaysia,Asia Pasifik,2017,267.1
Malaysia,Asia Pasifik,2018,276.4
Malaysia,Asia Pasifik,2019,281.5
Malaysia,Asia Pasifik,2020,273.8
Malaysia,Asia Pasifik,2021,281.7
Malaysia,Asia Pasifik,2022,298.5
Selandia Baru,Asia Pasifik,2011,36.0
Selandia Baru,Asia Pasifik,2012,37.4
Selandia Baru,Asia Pasifik,2013,37.0
Selandia Baru,Asia Pasifik,2014,36.9
Selandia Baru,Asia Pasifik,2015,37.5
Selandia Baru,Asia Pasifik,2016,36.4
Selandia Baru,Asia Pasifik,2017,38.4
Selandia Baru,Asia Pasifik,2018,38.1
Selandia Baru,Asia Pasifik,2019,39.5
Selandia Baru,Asia Pasifik,2020,34.5
Selandia Baru,Asia Pasifik,2021,33.8
Selandia Baru,Asia Pasifik,2022,31.6
Pakistan,Asia Pasifik,2011,168.4
Pakistan,Asia Pasifik,2012,168.7
Pakistan,Asia Pasifik,2013,171.3
Pakistan,Asia Pasifik,2014,177.6
Pakistan,Asia Pasifik,2015,186.2
Pakistan,Asia Pasifik,2016,203.2
Pakistan,Asia Pasifik,2017,215.0
Pakistan,Asia Pasifik,2018,223.1
Pakistan,Asia Pasifik,2019,222.6
Pakistan,Asia Pasifik,2020,237.4
Pakistan,Asia Pasifik,2021,263.1
Pakistan,Asia Pasifik,2022,237.0
Azerbaijan,CIS,2011,40.4
Azerbaijan,CIS,2012,40.8
Azerbaijan,CIS,2013,41.1
Azerbaijan,CIS,2014,41.4
Azerbaijan,CIS,2015,43.4
Azerbaijan,CIS,2016,42.7
Azerbaijan,CIS,2017,41.3
Azerbaijan,CIS,2018,43.3
Azerbaijan,CIS,2019,44.1
Azerbaijan,CIS,2020,44.2
Azerbaijan,CIS,2021,47.1
Azerbaijan,CIS,2022,47.4
Belarus,CIS,2011,62.8
Belarus,CIS,2012,64.6
Belarus,CIS,2013,64.1
Belarus,CIS,2014,63.1
Belarus,CIS,2015,58.2
Belarus,CIS,2016,58.4
Belarus,CIS,2017,59.3
Belarus,CIS,2018,64.6
Belarus,CIS,2019,65.1
Belarus,CIS,2020,59.5
Belarus,CIS,2021,60.6
Belarus,CIS,2022,59.1
Kazakhstan,CIS,2011,264.6
Kazakhstan,CIS,2012,274.7
Kazakhstan,CIS,2013,279.1
Kazakhstan,CIS,2014,285.0
Kazakhstan,CIS,2015,239.3
Kazakhstan,CIS,2016,258.5
Kazakhstan,CIS,2017,277.2
Kazakhstan,CIS,2018,286.7
Kazakhstan,CIS,2019,281.2
Kazakhstan,CIS,2020,263.3
Kazakhstan,CIS,2021,274.9
Kazakhstan,CIS,2022,286.9
Rusia,CIS,2011,2067.6
Rusia,CIS,2012,2084.7
Rusia,CIS,2013,2060.5
Rusia,CIS,2014,2055.2
Rusia,CIS,2015,2029.5
Rusia,CIS,2016,2056.7
Rusia,CIS,2017,2054.5
Rusia,CIS,2018,2138.6
Rusia,CIS,2019,2141.3
Rusia,CIS,2020,2014.2
Rusia,CIS,2021,2175.2
Rusia,CIS,2022,2024.0
Turkmenistan,CIS,2011,122.1
Turkmenistan,CIS,2012,131.5
Turkmenistan,CIS,2013,133.2
Turkmenistan,CIS,2014,133.8
Turkmenistan,CIS,2015,146.4
Turkmenistan,CIS,2016,143.6
Turkmenistan,CIS,2017,142.4
Turkmenistan,CIS,2018,151.7
Turkmenistan,CIS,2019,152.2
Turkmenistan,CIS,2020,163.8
Turkmenistan,CIS,2021,180.4
Turkmenistan,CIS,2022,183.5
Uzbekistan,CIS,2011,141.3
Uzbekistan,CIS,2012,138.0
Uzbekistan,CIS,2013,139.5
Uzbekistan,CIS,2014,140.4
Uzbekistan,CIS,2015,134.3
Uzbekistan,CIS,2016,130.2
Uzbekistan,CIS,2017,132.9
Uzbekistan,CIS,2018,139.1
Uzbekistan,CIS,2019,139.4
Uzbekistan,CIS,2020,140.1
Uzbekistan,CIS,2021,148.2
Uzbekistan,CIS,2022,150.9
