Negara	Region	Tahun	AHH	CO2
Iran	Timur Tengah	2016	77.1	569799763.8891
Iran	Timur Tengah	2017	77.3	581134174.9581
Iran	Timur Tengah	2018	77.6	606050589.6685
Iran	Timur Tengah	2019	77.8	628072607.2790
Iran	Timur Tengah	2020	76.2	645416104.0720
Iran	Timur Tengah	2021	78.2	660507933.0167
Iraq	Timur Tengah	2010	70.6	92362360.8645
Iraq	Timur Tengah	2011	71	94189735.1439
Iraq	Timur Tengah	2012	71.3	103463755.8165
Iraq	Timur Tengah	2013	70.9	115248807.9318
Iraq	Timur Tengah	2014	69.9	110769209.0668
Iraq	Timur Tengah	2015	70.7	107017553.3786
Iraq	Timur Tengah	2016	70.9	121995190.3949
Iraq	Timur Tengah	2017	71.5	128960366.6216
Iraq	Timur Tengah	2018	73.3	156221094.8498
Iraq	Timur Tengah	2019	73.3	145371203.7568
Iraq	Timur Tengah	2020	72.1	129995819.2321
Iraq	Timur Tengah	2021	73.6	140950129.6658
Kuwait	Timur Tengah	2010	80.1	87425878.6691
Kuwait	Timur Tengah	2011	80.9	88918406.0838
Kuwait	Timur Tengah	2012	81	92168993.1889
Kuwait	Timur Tengah	2013	81.3	94627876.6447
Kuwait	Timur Tengah	2014	81.6	96340662.6107
Kuwait	Timur Tengah	2015	81.5	99565378.8197
Kuwait	Timur Tengah	2016	81.6	97836093.2004
Kuwait	Timur Tengah	2017	81.6	99826691.2063
Kuwait	Timur Tengah	2018	81.6	101891458.6694
Kuwait	Timur Tengah	2019	81.5	103726741.5132
Kuwait	Timur Tengah	2020	81.2	95889130.7887
Kuwait	Timur Tengah	2021	81.7	103136231.1808
Oman	Timur Tengah	2010	70.4	49041726.0618
Oman	Timur Tengah	2011	70.8	52209330.1239
Oman	Timur Tengah	2012	71.5	57569283.5396
Oman	Timur Tengah	2013	71.9	65668847.5021
Oman	Timur Tengah	2014	72.3	65199880.1534
Oman	Timur Tengah	2015	72.4	68700617.8991
Oman	Timur Tengah	2016	72.6	69083439.9746
Oman	Timur Tengah	2017	72.9	74275676.5745
Oman	Timur Tengah	2018	73.6	76178886.9071
Oman	Timur Tengah	2019	74	76070302.0952
Oman	Timur Tengah	2020	72.7	73142453.6735
Oman	Timur Tengah	2021	74.4	82108905.6891
Qatar	Timur Tengah	2010	73.4	62233642.3967
Qatar	Timur Tengah	2011	73.9	74172733.6989
Qatar	Timur Tengah	2012	74.3	89161227.9881
Qatar	Timur Tengah	2013	74.7	99628715.9458
Qatar	Timur Tengah	2014	74.9	109575957.9925
Qatar	Timur Tengah	2015	75.5	123333151.0481
Qatar	Timur Tengah	2016	75.7	123093913.5308
Qatar	Timur Tengah	2017	75.9	115712423.7511
Qatar	Timur Tengah	2018	76.1	118987418.1891
Qatar	Timur Tengah	2019	76.3	124840108.6250
Qatar	Timur Tengah	2020	76.2	107642112.5344
Qatar	Timur Tengah	2021	76.5	115287548.5518
Arab Saudi	Timur Tengah	2010	71.8	471963074.2444
Arab Saudi	Timur Tengah	2011	72.2	499824341.8487
Arab Saudi	Timur Tengah	2012	72.6	525011978.7776
Arab Saudi	Timur Tengah	2013	72.9	534116892.0464
Arab Saudi	Timur Tengah	2014	73.2	573307289.3013
Arab Saudi	Timur Tengah	2015	73.3	591244503.4831
Arab Saudi	Timur Tengah	2016	73.7	618526925.2586
Arab Saudi	Timur Tengah	2017	74	608106186.1317
Arab Saudi	Timur Tengah	2018	74.3	604455619.8531
Arab Saudi	Timur Tengah	2019	74.5	582170687.9647
Arab Saudi	Timur Tengah	2020	74.3	569166709.7971
Arab Saudi	Timur Tengah	2021	74.8	575327144.4589
Mesir	Afrika	2010	69.4	184198718.4495
Mesir	Afrika	2011	69.6	192540315.0877
Mesir	Afrika	2012	69.7	199560837.2778
Mesir	Afrika	2013	70.1	201306684.2309
Mesir	Afrika	2014	70.3	199987240.7480
Mesir	Afrika	2015	69.9	203042336.1656
Mesir	Afrika	2016	70.2	215404945.2474
Mesir	Afrika	2017	70.5	220265795.2697
Mesir	Afrika	2018	70.7	217670955.3955
Mesir	Afrika	2019	71	223784947.0616
Mesir	Afrika	2020	71	203254332.1508
Mesir	Afrika	2021	71.3	219630200.4637
Maroko	Afrika	2010	71.9	49097374.1235
Maroko	Afrika	2011	72.1	52915778.2189
Maroko	Afrika	2012	72.3	53928615.0040
Maroko	Afrika	2013	72.1	54310180.6026
Maroko	Afrika	2014	72.3	56460897.9899
Maroko	Afrika	2015	72.5	56718145.9942
Maroko	Afrika	2016	72.8	57063651.3874
Maroko	Afrika	2017	72.9	60085625.3359
Maroko	Afrika	2018	73.1	61681773.3924
Maroko	Afrika	2019	73.3	67799861.2696
Maroko	Afrika	2020	73	62052578.4966
Maroko	Afrika	2021	73.8	68912503.6280
Afrika Selatan	Afrika	2010	57.1	474864261.3568
Afrika Selatan	Afrika	2011	58.7	466276962.3233
Afrika Selatan	Afrika	2012	60.1	462052148.0546
Afrika Selatan	Afrika	2013	61.3	462787845.5412
Afrika Selatan	Afrika	2014	61.8	467190521.8320
Afrika Selatan	Afrika	2015	62.3	455070598.3709
Afrika Selatan	Afrika	2016	62.7	473898934.0890
Afrika Selatan	Afrika	2017	63.2	469903732.1694
Afrika Selatan	Afrika	2018	64.4	451653260.0709
Afrika Selatan	Afrika	2019	65.1	473705454.2989
Afrika Selatan	Afrika	2020	64.3	437224298.1148
Afrika Selatan	Afrika	2021	65.6	438916509.0344
Kenya	Afrika	2010	61.2	76310142.6743
Kenya	Afrika	2011	62	80179294.1826
Kenya	Afrika	2012	62.6	80996636.2198
Kenya	Afrika	2013	63.2	89904136.2764
Kenya	Afrika	2014	63.8	100711081.2593
Kenya	Afrika	2015	64.4	104675300.5196
Kenya	Afrika	2016	65.1	103339190.2752
Kenya	Afrika	2017	65.7	111864741.3874
Kenya	Afrika	2018	66.1	117525496.5927
Kenya	Afrika	2019	66.5	115126594.4343
Kenya	Afrika	2020	66.4	102924390.6079
Kenya	Afrika	2021	67	110455196.9448
Aljazair	Afrika	2010	74.5	94598406.7183
Aljazair	Afrika	2011	74.7	100577985.5443
Aljazair	Afrika	2012	74.9	108876630.3470
Aljazair	Afrika	2013	75.1	115439977.6991
Aljazair	Afrika	2014	75.3	123598032.1425
Aljazair	Afrika	2015	75.4	128967684.2899
Aljazair	Afrika	2016	75.7	127696667.3999
Aljazair	Afrika	2017	75.9	130731027.7383
Aljazair	Afrika	2018	76	137735504.7470
Aljazair	Afrika	2019	76.2	142535666.9665
Aljazair	Afrika	2020	76.2	133275864.1998
Aljazair	Afrika	2021	76.6	139665102.2345
Nigeria	Afrika	2010	59.6	94602325.4925
Nigeria	Afrika	2011	60.2	103503880.7423
Nigeria	Afrika	2012	60.7	107390500.4845
Nigeria	Afrika	2013	61.2	109216101.1352
Nigeria	Afrika	2014	61.6	110852902.9289
Nigeria	Afrika	2015	62.1	126545206.1536
Nigeria	Afrika	2016	62.7	130436923.2415
Nigeria	Afrika	2017	63.3	139451549.0482
Nigeria	Afrika	2018	63.8	156670415.2649
Nigeria	Afrika	2019	64.3	159790688.4042
Nigeria	Afrika	2020	64.5	161574686.3971
Nigeria	Afrika	2021	65.1	174759143.9864
Australia	Asia Pasifik	2010	82.1	401979127.5941
Australia	Asia Pasifik	2011	82.3	406783319.3365
Australia	Asia Pasifik	2012	82.6	398096314.8149
Australia	Asia Pasifik	2013	82.7	395002283.9651
Australia	Asia Pasifik	2014	82.7	398519715.5247
Australia	Asia Pasifik	2015	82.7	407225305.3534
Australia	Asia Pasifik	2016	83	405581985.3764
Australia	Asia Pasifik	2017	83	403735904.8094
Australia	Asia Pasifik	2018	82.9	401513728.6428
Australia	Asia Pasifik	2019	82.9	406568531.6215
Australia	Asia Pasifik	2020	82.9	378239282.4937
Australia	Asia Pasifik	2021	83.2	369432801.2762
Indonesia	Asia Pasifik	2010	69.3	432877599.4104
Indonesia	Asia Pasifik	2011	69.6	470553831.8408
Indonesia	Asia Pasifik	2012	69.8	489540499.6881
Indonesia	Asia Pasifik	2013	70	460649284.9407
Indonesia	Asia Pasifik	2014	70.2	468954921.1272
Indonesia	Asia Pasifik	2015	70.4	488989522.7671
Indonesia	Asia Pasifik	2016	70.7	487833922.2572
Indonesia	Asia Pasifik	2017	70.9	514626715.5404
Indonesia	Asia Pasifik	2018	71.1	565561547.3622
Indonesia	Asia Pasifik	2019	71.4	613153931.7900
Indonesia	Asia Pasifik	2020	71.4	560759004.9236
Indonesia	Asia Pasifik	2021	71.8	572472250.3178
Korea Selatan	Asia Pasifik	2010	80.8	586866193.3489
Korea Selatan	Asia Pasifik	2011	81.2	613706394.5658
Korea Selatan	Asia Pasifik	2012	81.5	612614957.1256
Korea Selatan	Asia Pasifik	2013	81.9	619989181.6370
Korea Selatan	Asia Pasifik	2014	82.3	615006244.4434
Korea Selatan	Asia Pasifik	2015	82.6	622780441.6178
Korea Selatan	Asia Pasifik	2016	82.8	633172631.8607
Korea Selatan	Asia Pasifik	2017	82.9	641828000.8347
Korea Selatan	Asia Pasifik	2018	82.9	659110413.0469
Korea Selatan	Asia Pasifik	2019	82.9	635322584.7432
Korea Selatan	Asia Pasifik	2020	82.8	588840971.2180
Korea Selatan	Asia Pasifik	2021	83.2	603760594.1458
Malaysia	Asia Pasifik	2010	74.4	214002115.9860
Malaysia	Asia Pasifik	2011	74.6	209769754.2577
Malaysia	Asia Pasifik	2012	74.8	227703387.8271
Malaysia	Asia Pasifik	2013	75.3	234054802.4674
Malaysia	Asia Pasifik	2014	75.1	243114256.5648
Malaysia	Asia Pasifik	2015	75	247054583.5274
Malaysia	Asia Pasifik	2016	75	252572681.8631
Malaysia	Asia Pasifik	2017	75.1	241217173.3142
Malaysia	Asia Pasifik	2018	75.2	251128403.9459
Malaysia	Asia Pasifik	2019	75	256855363.3406
Malaysia	Asia Pasifik	2020	75.1	240577080.4451
Malaysia	Asia Pasifik	2021	75.3	238589216.4798
Selandia Baru	Asia Pasifik	2010	80.9	34441484.8296
Selandia Baru	Asia Pasifik	2011	80.9	34368614.1174
Selandia Baru	Asia Pasifik	2012	81.2	36031842.7585
Selandia Baru	Asia Pasifik	2013	81.5	35567095.7027
Selandia Baru	Asia Pasifik	2014	81.5	35634341.5688
Selandia Baru	Asia Pasifik	2015	81.7	36242280.8421
Selandia Baru	Asia Pasifik	2016	81.9	35459086.7249
Selandia Baru	Asia Pasifik	2017	82	37570221.6571
Selandia Baru	Asia Pasifik	2018	81.8	37374190.6305
Selandia Baru	Asia Pasifik	2019	81.8	38490149.4234
Selandia Baru	Asia Pasifik	2020	81.8	33389902.4278
Selandia Baru	Asia Pasifik	2021	82.1	32690393.7758
Pakistan	Asia Pasifik	2010	63.3	146126457.0534
Pakistan	Asia Pasifik	2011	63.6	145172457.5181
Pakistan	Asia Pasifik	2012	63.8	144613843.2464
Pakistan	Asia Pasifik	2013	64	145306220.6294
Pakistan	Asia Pasifik	2014	64.2	151707894.0155
Pakistan	Asia Pasifik	2015	64.4	160257195.3887
Pakistan	Asia Pasifik	2016	64.7	176490257.9550
Pakistan	Asia Pasifik	2017	64.9	188704375.8954
Pakistan	Asia Pasifik	2018	65.5	196931131.9733
Pakistan	Asia Pasifik	2019	65.9	207120706.2360
Pakistan	Asia Pasifik	2020	65.9	206275096.0407
Pakistan	Asia Pasifik	2021	66.2	226381422.4276
Azerbaijan	CIS	2010	69	24884405.5756
Azerbaijan	CIS	2011	69.2	28557105.8100
Azerbaijan	CIS	2012	69.5	29588566.5976
Azerbaijan	CIS	2013	69.7	30272552.9720
Azerbaijan	CIS	2014	69.9	31038507.7607
Azerbaijan	CIS	2015	70.2	33564718.3327
Azerbaijan	CIS	2016	70.3	33066805.2933
Azerbaijan	CIS	2017	70.4	31996933.5290
Azerbaijan	CIS	2018	70.8	33454555.3731
Azerbaijan	CIS	2019	71	34385700.0465
Azerbaijan	CIS	2020	70.4	33690268.0315
Azerbaijan	CIS	2021	71.2	35340802.2661
Belarus	CIS	2010	70.6	62410709.1717
Belarus	CIS	2011	70.5	59250102.9799
Belarus	CIS	2012	72.3	60826320.4385
Belarus	CIS	2013	72.8	60165255.3838
Belarus	CIS	2014	73.1	59231285.9517
Belarus	CIS	2015	73.7	54929630.6056
Belarus	CIS	2016	73.8	55031965.2511
Belarus	CIS	2017	73.8	55709191.7703
Belarus	CIS	2018	74	60584001.1114
Belarus	CIS	2019	74	60930598.4101
Belarus	CIS	2020	73.5	56066614.7705
Belarus	CIS	2021	74.3	57153032.9974
Kazakhstan	CIS	2010	67.6	178576919.3434
Kazakhstan	CIS	2011	68.1	202040288.0838
Kazakhstan	CIS	2012	68.6	211997451.0371
Kazakhstan	CIS	2013	69.4	211907290.9764
Kazakhstan	CIS	2014	70.1	214678169.1570
Kazakhstan	CIS	2015	70.6	202155828.2482
Kazakhstan	CIS	2016	71.1	203969578.3827
Kazakhstan	CIS	2017	71.5	214188420.5821
Kazakhstan	CIS	2018	71.7	238489690.9127
Kazakhstan	CIS	2019	71.9	235036874.9110
Kazakhstan	CIS	2020	71.2	221192863.6215
Kazakhstan	CIS	2021	72.3	219424921.2003
Rusia	CIS	2010	68.8	1492384765.5114
Rusia	CIS	2011	70	1558796388.6700
Rusia	CIS	2012	70.5	1572379196.4237
Rusia	CIS	2013	70.9	1538755032.3661
Rusia	CIS	2014	71	1539802230.4325
Rusia	CIS	2015	71.5	1506995239.6082
Rusia	CIS	2016	72	1520474913.1168
Rusia	CIS	2017	72.9	1507817782.5972
Rusia	CIS	2018	73	1564673006.5384
Rusia	CIS	2019	73	1548839635.8153
Rusia	CIS	2020	71.2	1456247685.2328
Rusia	CIS	2021	73.3	1581337921.3786
Turkmenistan	CIS	2010	69.5	54306823.6907
Turkmenistan	CIS	2011	69.6	59929702.7286
Turkmenistan	CIS	2012	69.8	65167847.6073
Turkmenistan	CIS	2013	69.8	58291431.9735
Turkmenistan	CIS	2014	69.9	60459630.3000
Turkmenistan	CIS	2015	70	71537865.8861
Turkmenistan	CIS	2016	70.3	70855653.1051
Turkmenistan	CIS	2017	70.5	70161037.9130
Turkmenistan	CIS	2018	70.6	77633278.9190
Turkmenistan	CIS	2019	70.8	84052418.1539
Turkmenistan	CIS	2020	70.9	79209051.3966
Turkmenistan	CIS	2021	71.1	94266931.6745
Uzbekistan	CIS	2010	66.5	106112183.4666
Uzbekistan	CIS	2011	66.6	113363585.2292
Uzbekistan	CIS	2012	66.7	109781529.7744
Uzbekistan	CIS	2013	67	111083616.2933
Uzbekistan	CIS	2014	67.2	114360088.4213
Uzbekistan	CIS	2015	67.3	108823698.0116
Uzbekistan	CIS	2016	67.6	104145088.3132
Uzbekistan	CIS	2017	67.8	106854085.3143
Uzbekistan	CIS	2018	68.1	109686568.9797
Uzbekistan	CIS	2019	68.4	109523687.3351
Uzbekistan	CIS	2020	68.4	108272324.6503
Uzbekistan	CIS	2021	68.7	112270100.5931
