Negara	Benua	Tahun	AHH
Belize	Amerika	2023	75
Bolivia	Amerika	2000	66.5
Bolivia	Amerika	2001	67.2
Bolivia	Amerika	2002	67.6
Bolivia	Amerika	2003	68.1
Bolivia	Amerika	2004	68.6
Bolivia	Amerika	2005	69
Bolivia	Amerika	2006	69.3
Bolivia	Amerika	2007	69.6
Bolivia	Amerika	2008	69.8
Bolivia	Amerika	2009	70.1
Bolivia	Amerika	2010	70.3
Bolivia	Amerika	2011	70.5
Bolivia	Amerika	2012	70.7
Bolivia	Amerika	2013	70.9
Bolivia	Amerika	2014	71.1
Bolivia	Amerika	2015	71.3
Bolivia	Amerika	2016	71.5
Bolivia	Amerika	2017	71.7
Bolivia	Amerika	2018	71.8
Bolivia	Amerika	2019	72
Bolivia	Amerika	2020	69.8
Bolivia	Amerika	2021	72.5
Bolivia	Amerika	2022	72.8
Bolivia	Amerika	2023	73
Brazil	Amerika	2000	71.2
Brazil	Amerika	2001	71.5
Brazil	Amerika	2002	71.8
Brazil	Amerika	2003	72
Brazil	Amerika	2004	72.3
Brazil	Amerika	2005	72.8
Brazil	Amerika	2006	73.1
Brazil	Amerika	2007	73.3
Brazil	Amerika	2008	73.5
Brazil	Amerika	2009	73.7
Brazil	Amerika	2010	73.8
Brazil	Amerika	2011	74
Brazil	Amerika	2012	74.3
Brazil	Amerika	2013	74.5
Brazil	Amerika	2014	74.8
Brazil	Amerika	2015	75
Brazil	Amerika	2016	75
Brazil	Amerika	2017	75.4
Brazil	Amerika	2018	75.7
Brazil	Amerika	2019	75.8
Brazil	Amerika	2020	73.6
Brazil	Amerika	2021	76.3
Brazil	Amerika	2022	76.4
Brazil	Amerika	2023	76.6
Barbados	Amerika	2000	74.7
Barbados	Amerika	2001	75.2
Barbados	Amerika	2002	75.1
Barbados	Amerika	2003	74.9
Barbados	Amerika	2004	74.9
Barbados	Amerika	2005	75.2
Barbados	Amerika	2006	75.4
Barbados	Amerika	2007	75.5
Barbados	Amerika	2008	75.8
Barbados	Amerika	2009	76.1
Barbados	Amerika	2010	76.2
Barbados	Amerika	2011	76.2
Barbados	Amerika	2012	76.5
Barbados	Amerika	2013	76.5
Barbados	Amerika	2014	76.5
Barbados	Amerika	2015	76.5
Barbados	Amerika	2016	76.5
Barbados	Amerika	2017	76.5
Barbados	Amerika	2018	76.5
Barbados	Amerika	2019	76.2
Barbados	Amerika	2020	76.2
Barbados	Amerika	2021	76.4
Barbados	Amerika	2022	76.6
Barbados	Amerika	2023	76.7
Canada	Amerika	2000	79.4
Canada	Amerika	2001	79.6
Canada	Amerika	2002	79.8
Canada	Amerika	2003	80
Canada	Amerika	2004	80.2
Canada	Amerika	2005	80.4
Canada	Amerika	2006	80.7
Canada	Amerika	2007	80.9
Canada	Amerika	2008	81.1
Canada	Amerika	2009	81.4
Canada	Amerika	2010	81.6
Canada	Amerika	2011	81.9
Canada	Amerika	2012	82
Canada	Amerika	2013	82.1
Canada	Amerika	2014	82.2
Canada	Amerika	2015	82.3
Canada	Amerika	2016	82.3
Canada	Amerika	2017	82.4
Canada	Amerika	2018	82.2
Canada	Amerika	2019	82.2
Canada	Amerika	2020	81.5
Canada	Amerika	2021	82.5
Canada	Amerika	2022	82.6
Canada	Amerika	2023	82.8
Chile	Amerika	2000	76.9
Chile	Amerika	2001	77
Chile	Amerika	2002	77.4
Chile	Amerika	2003	77.4
Chile	Amerika	2004	77.6
Chile	Amerika	2005	77.9
Chile	Amerika	2006	78.2
Chile	Amerika	2007	78.4
Chile	Amerika	2008	78.7
Chile	Amerika	2009	78.6
Chile	Amerika	2010	78.6
Chile	Amerika	2011	79
Chile	Amerika	2012	79.2
Chile	Amerika	2013	79.3
Chile	Amerika	2014	79.5
Chile	Amerika	2015	79.6
Chile	Amerika	2016	80
Chile	Amerika	2017	80
Chile	Amerika	2018	80.1
Chile	Amerika	2019	80.2
Chile	Amerika	2020	79.1
Chile	Amerika	2021	80.5
Chile	Amerika	2022	80.6
Chile	Amerika	2023	80.8
Colombia	Amerika	2000	74.2
Colombia	Amerika	2001	74.4
Colombia	Amerika	2002	73.4
Colombia	Amerika	2003	75.2
Colombia	Amerika	2004	75.6
Colombia	Amerika	2005	76.5
Colombia	Amerika	2006	76.7
Colombia	Amerika	2007	77.3
Colombia	Amerika	2008	77.6
Colombia	Amerika	2009	77.5
Colombia	Amerika	2010	77.9
Colombia	Amerika	2011	78.7
Colombia	Amerika	2012	79
Colombia	Amerika	2013	79.3
Colombia	Amerika	2014	79.7
Colombia	Amerika	2015	79.7
Colombia	Amerika	2016	79.8
Colombia	Amerika	2017	80
Colombia	Amerika	2018	80.1
Colombia	Amerika	2019	80.2
Colombia	Amerika	2020	77.8
Colombia	Amerika	2021	80.5
Colombia	Amerika	2022	80.7
Colombia	Amerika	2023	80.9
Costa Rica	Amerika	2000	77.9
Costa Rica	Amerika	2001	77.9
Costa Rica	Amerika	2002	78.4
Costa Rica	Amerika	2003	78.5
Costa Rica	Amerika	2004	78.6
Costa Rica	Amerika	2005	79.4
Costa Rica	Amerika	2006	79.1
Costa Rica	Amerika	2007	80.3
Costa Rica	Amerika	2008	80.3
Costa Rica	Amerika	2009	80.6
Costa Rica	Amerika	2010	79.5
Costa Rica	Amerika	2011	80.2
Costa Rica	Amerika	2012	80.3
Costa Rica	Amerika	2013	80.4
Costa Rica	Amerika	2014	80.5
Costa Rica	Amerika	2015	80.2
Costa Rica	Amerika	2016	79.8
Costa Rica	Amerika	2017	79.8
Costa Rica	Amerika	2018	80
Costa Rica	Amerika	2019	80.1
Costa Rica	Amerika	2020	78.9
Costa Rica	Amerika	2021	80.5
Costa Rica	Amerika	2022	80.6
Costa Rica	Amerika	2023	80.8
Cuba	Amerika	2000	77
Cuba	Amerika	2001	77.2
Cuba	Amerika	2002	77.9
Cuba	Amerika	2003	77.8
Cuba	Amerika	2004	77.8
Cuba	Amerika	2005	77.7
Cuba	Amerika	2006	78.4
Cuba	Amerika	2007	78.5
Cuba	Amerika	2008	78.4
Cuba	Amerika	2009	78.5
Cuba	Amerika	2010	78.5
Cuba	Amerika	2011	79.1
Cuba	Amerika	2012	78.8
Cuba	Amerika	2013	78.8
Cuba	Amerika	2014	78.7
Cuba	Amerika	2015	78.4
Cuba	Amerika	2016	78.5
Cuba	Amerika	2017	78.3
Cuba	Amerika	2018	78.3
Cuba	Amerika	2019	78.7
Cuba	Amerika	2020	78.7
Cuba	Amerika	2021	78.9
Cuba	Amerika	2022	79
Cuba	Amerika	2023	79.1
Dominican Republic	Amerika	2000	73.7
Dominican Republic	Amerika	2001	73.8
Dominican Republic	Amerika	2002	73.9
Dominican Republic	Amerika	2003	73.5
Dominican Republic	Amerika	2004	72.6
Dominican Republic	Amerika	2005	72.6
Dominican Republic	Amerika	2006	72.7
Dominican Republic	Amerika	2007	72.9
Dominican Republic	Amerika	2008	73.3
Dominican Republic	Amerika	2009	73.4
Dominican Republic	Amerika	2010	73.5
Dominican Republic	Amerika	2011	73.4
Dominican Republic	Amerika	2012	72.9
Dominican Republic	Amerika	2013	72.3
Dominican Republic	Amerika	2014	72.2
Dominican Republic	Amerika	2015	72
Dominican Republic	Amerika	2016	72.1
Dominican Republic	Amerika	2017	72.5
Dominican Republic	Amerika	2018	72.9
Dominican Republic	Amerika	2019	73.2
Dominican Republic	Amerika	2020	72.7
Dominican Republic	Amerika	2021	73.5
Dominican Republic	Amerika	2022	73.7
Dominican Republic	Amerika	2023	73.8
Ecuador	Amerika	2000	74.5
Ecuador	Amerika	2001	75
Ecuador	Amerika	2002	74.1
Ecuador	Amerika	2003	73.9
Ecuador	Amerika	2004	73.9
Ecuador	Amerika	2005	73.6
Ecuador	Amerika	2006	73.6
Ecuador	Amerika	2007	73.7
Ecuador	Amerika	2008	73.8
Ecuador	Amerika	2009	74.1
Ecuador	Amerika	2010	74.3
Ecuador	Amerika	2011	74.9
Ecuador	Amerika	2012	74.9
Ecuador	Amerika	2013	75.2
Ecuador	Amerika	2014	75.6
Ecuador	Amerika	2015	75.9
Ecuador	Amerika	2016	75.9
Ecuador	Amerika	2017	76
Ecuador	Amerika	2018	76.2
Ecuador	Amerika	2019	76.4
Ecuador	Amerika	2020	73.9
Ecuador	Amerika	2021	76.8
Ecuador	Amerika	2022	77
Ecuador	Amerika	2023	77.2
Grenada	Amerika	2000	72
Grenada	Amerika	2001	72.1
Grenada	Amerika	2002	72.1
Grenada	Amerika	2003	72.2
Grenada	Amerika	2004	71.8
Grenada	Amerika	2005	72.4
Grenada	Amerika	2006	72.5
Grenada	Amerika	2007	72.6
Grenada	Amerika	2008	72.5
Grenada	Amerika	2009	72.5
Grenada	Amerika	2010	72.5
Grenada	Amerika	2011	72.6
Grenada	Amerika	2012	73.2
Grenada	Amerika	2013	73.1
Grenada	Amerika	2014	73
Grenada	Amerika	2015	73.1
Grenada	Amerika	2016	72.9
Grenada	Amerika	2017	73
Grenada	Amerika	2018	73.2
Grenada	Amerika	2019	73.3
Grenada	Amerika	2020	73.3
Grenada	Amerika	2021	73.4
Grenada	Amerika	2022	73.5
Grenada	Amerika	2023	73.5
Guatemala	Amerika	2000	66.7
Guatemala	Amerika	2001	67.2
Guatemala	Amerika	2002	67.8
Guatemala	Amerika	2003	68.1
Guatemala	Amerika	2004	68.4
Guatemala	Amerika	2005	68.4
Guatemala	Amerika	2006	68.9
Guatemala	Amerika	2007	69.5
Guatemala	Amerika	2008	69.9
Guatemala	Amerika	2009	69.9
Guatemala	Amerika	2010	70.3
Guatemala	Amerika	2011	70.7
Guatemala	Amerika	2012	71.1
Guatemala	Amerika	2013	71.3
Guatemala	Amerika	2014	71.6
Guatemala	Amerika	2015	71.8
Guatemala	Amerika	2016	72
Guatemala	Amerika	2017	72.3
Guatemala	Amerika	2018	72.4
Guatemala	Amerika	2019	72.6
Guatemala	Amerika	2020	71.5
Guatemala	Amerika	2021	73
Guatemala	Amerika	2022	73.2
Guatemala	Amerika	2023	73.4
Guyana	Amerika	2000	64
Guyana	Amerika	2001	63.9
Guyana	Amerika	2002	63.9
Guyana	Amerika	2003	64.1
Guyana	Amerika	2004	64.3
Guyana	Amerika	2005	64.4
Guyana	Amerika	2006	65
Guyana	Amerika	2007	65.2
Guyana	Amerika	2008	65.3
Guyana	Amerika	2009	65.9
Guyana	Amerika	2010	65.8
Guyana	Amerika	2011	65.7
Guyana	Amerika	2012	65.7
Guyana	Amerika	2013	66
Guyana	Amerika	2014	66
Guyana	Amerika	2015	66.4
Guyana	Amerika	2016	66.7
Guyana	Amerika	2017	66.9
Guyana	Amerika	2018	67.1
Guyana	Amerika	2019	67.3
Guyana	Amerika	2020	66.8
Guyana	Amerika	2021	67.5
Guyana	Amerika	2022	67.6
Guyana	Amerika	2023	67.7
Honduras	Amerika	2000	70.1
Honduras	Amerika	2001	70.2
Honduras	Amerika	2002	70.4
Honduras	Amerika	2003	70.5
Honduras	Amerika	2004	70.7
Honduras	Amerika	2005	70.9
Honduras	Amerika	2006	71.1
Honduras	Amerika	2007	71.2
Honduras	Amerika	2008	71.3
Honduras	Amerika	2009	71.3
Honduras	Amerika	2010	71.1
Honduras	Amerika	2011	71
Honduras	Amerika	2012	69.3
Honduras	Amerika	2013	69.6
Honduras	Amerika	2014	69.9
Honduras	Amerika	2015	69.9
Honduras	Amerika	2016	71.5
Honduras	Amerika	2017	71.7
Honduras	Amerika	2018	71.9
Honduras	Amerika	2019	72.1
Honduras	Amerika	2020	70.7
Honduras	Amerika	2021	72.4
Honduras	Amerika	2022	72.6
Honduras	Amerika	2023	72.7
Haiti	Amerika	2000	57.4
Haiti	Amerika	2001	57.8
Haiti	Amerika	2002	58.2
Haiti	Amerika	2003	58.5
Haiti	Amerika	2004	57.5
Haiti	Amerika	2005	59
Haiti	Amerika	2006	59.5
Haiti	Amerika	2007	60
Haiti	Amerika	2008	60.2
Haiti	Amerika	2009	60.7
Haiti	Amerika	2010	62.5
Haiti	Amerika	2011	60
Haiti	Amerika	2012	61.4
Haiti	Amerika	2013	61.6
Haiti	Amerika	2014	61.9
Haiti	Amerika	2015	62.2
Haiti	Amerika	2016	62.4
Haiti	Amerika	2017	63.1
Haiti	Amerika	2018	63.5
Haiti	Amerika	2019	63.8
Haiti	Amerika	2020	63.9
Haiti	Amerika	2021	64.4
Haiti	Amerika	2022	64.7
Haiti	Amerika	2023	64.9
Jamaica	Amerika	2000	74.6
Jamaica	Amerika	2001	74.7
Jamaica	Amerika	2002	75.5
Jamaica	Amerika	2003	76.3
Jamaica	Amerika	2004	76.8
Jamaica	Amerika	2005	77.4
Jamaica	Amerika	2006	77.5
Jamaica	Amerika	2007	76.3
Jamaica	Amerika	2008	75.2
Jamaica	Amerika	2009	74.6
Jamaica	Amerika	2010	76.3
Jamaica	Amerika	2011	75.8
Jamaica	Amerika	2012	77
Jamaica	Amerika	2013	77.1
Jamaica	Amerika	2014	76.3
Jamaica	Amerika	2015	76.1
Jamaica	Amerika	2016	76.2
Jamaica	Amerika	2017	76.3
Jamaica	Amerika	2018	76.3
Jamaica	Amerika	2019	76.3
Jamaica	Amerika	2020	76.2
Jamaica	Amerika	2021	76.5
Jamaica	Amerika	2022	76.6
Jamaica	Amerika	2023	76.7
St. Lucia	Amerika	2000	73.4
St. Lucia	Amerika	2001	73.5
St. Lucia	Amerika	2002	73.6
St. Lucia	Amerika	2003	73.8
St. Lucia	Amerika	2004	74
St. Lucia	Amerika	2005	74.3
St. Lucia	Amerika	2006	74.6
St. Lucia	Amerika	2007	75
St. Lucia	Amerika	2008	75.3
St. Lucia	Amerika	2009	75.5
St. Lucia	Amerika	2010	75.6
St. Lucia	Amerika	2011	76
St. Lucia	Amerika	2012	76
St. Lucia	Amerika	2013	75.7
St. Lucia	Amerika	2014	75.6
St. Lucia	Amerika	2015	75.6
St. Lucia	Amerika	2016	75.1
St. Lucia	Amerika	2017	75.1
St. Lucia	Amerika	2018	75.1
St. Lucia	Amerika	2019	75.1
St. Lucia	Amerika	2020	75.2
St. Lucia	Amerika	2021	75.4
St. Lucia	Amerika	2022	75.5
St. Lucia	Amerika	2023	75.7
Mexico	Amerika	2000	74.2
Mexico	Amerika	2001	74.6
Mexico	Amerika	2002	74.6
Mexico	Amerika	2003	74.7
Mexico	Amerika	2004	75
Mexico	Amerika	2005	75
Mexico	Amerika	2006	75.3
Mexico	Amerika	2007	75.6
Mexico	Amerika	2008	75.2
Mexico	Amerika	2009	75
Mexico	Amerika	2010	75.3
Mexico	Amerika	2011	75.5
Mexico	Amerika	2012	75.7
Mexico	Amerika	2013	75.5
Mexico	Amerika	2014	75.6
Mexico	Amerika	2015	75.7
Mexico	Amerika	2016	75.5
Mexico	Amerika	2017	75.5
Mexico	Amerika	2018	75.5
Mexico	Amerika	2019	75.6
Mexico	Amerika	2020	73
Mexico	Amerika	2021	75.8
Mexico	Amerika	2022	75.9
Mexico	Amerika	2023	76
Nicaragua	Amerika	2000	73.7
Nicaragua	Amerika	2001	73.7
Nicaragua	Amerika	2002	73.6
Nicaragua	Amerika	2003	73.6
Nicaragua	Amerika	2004	73.7
Nicaragua	Amerika	2005	73.5
Nicaragua	Amerika	2006	74.3
Nicaragua	Amerika	2007	73.9
Nicaragua	Amerika	2008	74
Nicaragua	Amerika	2009	74.1
Nicaragua	Amerika	2010	74.4
Nicaragua	Amerika	2011	74.3
Nicaragua	Amerika	2012	74.4
Nicaragua	Amerika	2013	74.5
Nicaragua	Amerika	2014	74.5
Nicaragua	Amerika	2015	74.9
Nicaragua	Amerika	2016	74.8
Nicaragua	Amerika	2017	75
Nicaragua	Amerika	2018	75.2
Nicaragua	Amerika	2019	75.4
Nicaragua	Amerika	2020	75.4
Nicaragua	Amerika	2021	75.8
Nicaragua	Amerika	2022	76
Nicaragua	Amerika	2023	76.2
Panama	Amerika	2000	78
Panama	Amerika	2001	78.1
Panama	Amerika	2002	78.1
Panama	Amerika	2003	78
Panama	Amerika	2004	78.2
Panama	Amerika	2005	78.2
Panama	Amerika	2006	78.2
Panama	Amerika	2007	78.5
Panama	Amerika	2008	78.4
Panama	Amerika	2009	78.4
Panama	Amerika	2010	78.5
Panama	Amerika	2011	78.7
Panama	Amerika	2012	78.6
Panama	Amerika	2013	78.7
Panama	Amerika	2014	78.9
Panama	Amerika	2015	79.3
Panama	Amerika	2016	79.5
Panama	Amerika	2017	79.6
Panama	Amerika	2018	79.9
Panama	Amerika	2019	80
Panama	Amerika	2020	77
Panama	Amerika	2021	80.4
Panama	Amerika	2022	80.6
Panama	Amerika	2023	80.7
Peru	Amerika	2000	74.6
Peru	Amerika	2001	75.5
Peru	Amerika	2002	75.9
Peru	Amerika	2003	76
Peru	Amerika	2004	76.7
Peru	Amerika	2005	77.2
Peru	Amerika	2006	77.7
Peru	Amerika	2007	78.3
Peru	Amerika	2008	78.5
Peru	Amerika	2009	77.4
Peru	Amerika	2010	77.3
Peru	Amerika	2011	77.7
Peru	Amerika	2012	78
Peru	Amerika	2013	78.4
Peru	Amerika	2014	78.9
Peru	Amerika	2015	79.4
Peru	Amerika	2016	79.6
Peru	Amerika	2017	79.8
Peru	Amerika	2018	80
Peru	Amerika	2019	80.3
Peru	Amerika	2020	77.4
Peru	Amerika	2021	80.7
Peru	Amerika	2022	80.9
Peru	Amerika	2023	81.1
Paraguay	Amerika	2000	75.6
Paraguay	Amerika	2001	76
Paraguay	Amerika	2002	76.1
Paraguay	Amerika	2003	75.8
Paraguay	Amerika	2004	75.2
Paraguay	Amerika	2005	75.6
Paraguay	Amerika	2006	75.6
Paraguay	Amerika	2007	76
Paraguay	Amerika	2008	76
Paraguay	Amerika	2009	75.8
Paraguay	Amerika	2010	75.7
Paraguay	Amerika	2011	76
Paraguay	Amerika	2012	76.2
Paraguay	Amerika	2013	76
Paraguay	Amerika	2014	76.4
Paraguay	Amerika	2015	76.5
Paraguay	Amerika	2016	76.1
Paraguay	Amerika	2017	76.3
Paraguay	Amerika	2018	76.5
Paraguay	Amerika	2019	76.6
Paraguay	Amerika	2020	75.7
Paraguay	Amerika	2021	76.8
Paraguay	Amerika	2022	76.9
Paraguay	Amerika	2023	77
El Salvador	Amerika	2000	73.1
El Salvador	Amerika	2001	73
El Salvador	Amerika	2002	74.3
El Salvador	Amerika	2003	73.9
El Salvador	Amerika	2004	73.6
El Salvador	Amerika	2005	73.6
El Salvador	Amerika	2006	73.7
El Salvador	Amerika	2007	74.1
El Salvador	Amerika	2008	74.7
El Salvador	Amerika	2009	74.1
El Salvador	Amerika	2010	75.2
El Salvador	Amerika	2011	75.1
El Salvador	Amerika	2012	74.5
El Salvador	Amerika	2013	74.3
El Salvador	Amerika	2014	73.5
El Salvador	Amerika	2015	73.4
El Salvador	Amerika	2016	75.2
El Salvador	Amerika	2017	75.4
El Salvador	Amerika	2018	75.6
El Salvador	Amerika	2019	75.7
El Salvador	Amerika	2020	75.1
El Salvador	Amerika	2021	76.2
El Salvador	Amerika	2022	76.4
El Salvador	Amerika	2023	76.6
Suriname	Amerika	2000	69.8
Suriname	Amerika	2001	69.6
Suriname	Amerika	2002	69.5
Suriname	Amerika	2003	69.8
Suriname	Amerika	2004	70.1
Suriname	Amerika	2005	70.6
Suriname	Amerika	2006	71.2
Suriname	Amerika	2007	71.6
Suriname	Amerika	2008	71.7
Suriname	Amerika	2009	72.1
Suriname	Amerika	2010	72.3
Suriname	Amerika	2011	72.8
Suriname	Amerika	2012	73.1
Suriname	Amerika	2013	73
Suriname	Amerika	2014	72.7
Suriname	Amerika	2015	72.5
Suriname	Amerika	2016	72.4
Suriname	Amerika	2017	72.5
Suriname	Amerika	2018	72.6
Suriname	Amerika	2019	72.7
Suriname	Amerika	2020	72.4
Suriname	Amerika	2021	73
Suriname	Amerika	2022	73.1
Suriname	Amerika	2023	73.2
Trinidad and Tobago	Amerika	2000	70.5
Trinidad and Tobago	Amerika	2001	70.6
Trinidad and Tobago	Amerika	2002	71.2
Trinidad and Tobago	Amerika	2003	71.1
Trinidad and Tobago	Amerika	2004	71.6
Trinidad and Tobago	Amerika	2005	71.9
Trinidad and Tobago	Amerika	2006	72.5
Trinidad and Tobago	Amerika	2007	72.8
Trinidad and Tobago	Amerika	2008	72.4
Trinidad and Tobago	Amerika	2009	73.2
Trinidad and Tobago	Amerika	2010	73.7
Trinidad and Tobago	Amerika	2011	74.5
Trinidad and Tobago	Amerika	2012	75.1
Trinidad and Tobago	Amerika	2013	74.9
Trinidad and Tobago	Amerika	2014	74.9
Trinidad and Tobago	Amerika	2015	74.9
Trinidad and Tobago	Amerika	2016	74.8
Trinidad and Tobago	Amerika	2017	74.8
Trinidad and Tobago	Amerika	2018	74.8
Trinidad and Tobago	Amerika	2019	74.9
Trinidad and Tobago	Amerika	2020	74.8
Trinidad and Tobago	Amerika	2021	75.1
Trinidad and Tobago	Amerika	2022	75.2
Trinidad and Tobago	Amerika	2023	75.4
Uruguay	Amerika	2000	74.8
Uruguay	Amerika	2001	75
Uruguay	Amerika	2002	75
Uruguay	Amerika	2003	75
Uruguay	Amerika	2004	75.2
Uruguay	Amerika	2005	75.5
Uruguay	Amerika	2006	75.9
Uruguay	Amerika	2007	75.7
Uruguay	Amerika	2008	76.2
Uruguay	Amerika	2009	76.5
Uruguay	Amerika	2010	76.5
Uruguay	Amerika	2011	76.4
Uruguay	Amerika	2012	76.5
Uruguay	Amerika	2013	76.8
Uruguay	Amerika	2014	77.1
Uruguay	Amerika	2015	77.1
Uruguay	Amerika	2016	77.3
Uruguay	Amerika	2017	77.3
Uruguay	Amerika	2018	77.5
Uruguay	Amerika	2019	77.5
Uruguay	Amerika	2020	77.3
Uruguay	Amerika	2021	77.8
Uruguay	Amerika	2022	78
Uruguay	Amerika	2023	78.1
United States	Amerika	2000	77
United States	Amerika	2001	77.1
United States	Amerika	2002	77.2
United States	Amerika	2003	77.3
United States	Amerika	2004	77.7
United States	Amerika	2005	77.7
United States	Amerika	2006	78
United States	Amerika	2007	78.2
United States	Amerika	2008	78.4
United States	Amerika	2009	78.6
United States	Amerika	2010	78.9
United States	Amerika	2011	78.9
United States	Amerika	2012	79
United States	Amerika	2013	79.1
United States	Amerika	2014	79.1
United States	Amerika	2015	79
United States	Amerika	2016	78.9
United States	Amerika	2017	79
United States	Amerika	2018	79
United States	Amerika	2019	78.9
United States	Amerika	2020	77
United States	Amerika	2021	79
United States	Amerika	2022	79.1
United States	Amerika	2023	79.2
St. Vincent and the Grenadines	Amerika	2000	71.1
St. Vincent and the Grenadines	Amerika	2001	71.7
St. Vincent and the Grenadines	Amerika	2002	71.7
St. Vincent and the Grenadines	Amerika	2003	72.2
St. Vincent and the Grenadines	Amerika	2004	72.3
St. Vincent and the Grenadines	Amerika	2005	72.6
St. Vincent and the Grenadines	Amerika	2006	72.9
St. Vincent and the Grenadines	Amerika	2007	73.1
St. Vincent and the Grenadines	Amerika	2008	73.1
St. Vincent and the Grenadines	Amerika	2009	73
St. Vincent and the Grenadines	Amerika	2010	73.1
St. Vincent and the Grenadines	Amerika	2011	73.2
St. Vincent and the Grenadines	Amerika	2012	73
St. Vincent and the Grenadines	Amerika	2013	72.5
St. Vincent and the Grenadines	Amerika	2014	72.6
St. Vincent and the Grenadines	Amerika	2015	72.6
St. Vincent and the Grenadines	Amerika	2016	72.6
St. Vincent and the Grenadines	Amerika	2017	72.7
St. Vincent and the Grenadines	Amerika	2018	72.8
St. Vincent and the Grenadines	Amerika	2019	73
St. Vincent and the Grenadines	Amerika	2020	73
St. Vincent and the Grenadines	Amerika	2021	73.2
St. Vincent and the Grenadines	Amerika	2022	73.3
St. Vincent and the Grenadines	Amerika	2023	73.5
Venezuela	Amerika	2000	74.2
Venezuela	Amerika	2001	74.1
Venezuela	Amerika	2002	74
Venezuela	Amerika	2003	73.5
Venezuela	Amerika	2004	74.6
Venezuela	Amerika	2005	75
Venezuela	Amerika	2006	74.8
Venezuela	Amerika	2007	74.6
Venezuela	Amerika	2008	74.4
Venezuela	Amerika	2009	74.6
Venezuela	Amerika	2010	75.3
Venezuela	Amerika	2011	75.4
Venezuela	Amerika	2012	75.2
Venezuela	Amerika	2013	75.5
Venezuela	Amerika	2014	75.6
Venezuela	Amerika	2015	75.7
Venezuela	Amerika	2016	75.6
Venezuela	Amerika	2017	75.5
Venezuela	Amerika	2018	75.4
