Negara,Status,Tahun,TB
Egypt,Berkembang,2020,9.17
Egypt,Berkembang,2021,9.33
South Africa,Berkembang,2010,24.68
South Africa,Berkembang,2011,24.64
South Africa,Berkembang,2012,24.73
South Africa,Berkembang,2013,24.56
South Africa,Berkembang,2014,24.89
South Africa,Berkembang,2015,25.15
South Africa,Berkembang,2016,26.54
South Africa,Berkembang,2017,27.04
South Africa,Berkembang,2018,26.91
South Africa,Berkembang,2019,28.47
South Africa,Berkembang,2020,29.22
South Africa,Berkembang,2021,33.56
Ghana,Berkembang,2010,5.38
Ghana,Berkembang,2011,5.6
Ghana,Berkembang,2012,5.91
Ghana,Berkembang,2013,6.2
Ghana,Berkembang,2014,6.52
Ghana,Berkembang,2015,6.81
Ghana,Berkembang,2016,5.53
Ghana,Berkembang,2017,4.22
Ghana,Berkembang,2018,4.28
Ghana,Berkembang,2019,4.32
Ghana,Berkembang,2020,4.65
Ghana,Berkembang,2021,4.7
Tunisia,Berkembang,2010,13.05
Tunisia,Berkembang,2011,18.33
Tunisia,Berkembang,2012,17.63
Tunisia,Berkembang,2013,15.93
Tunisia,Berkembang,2014,15.06
Tunisia,Berkembang,2015,15.16
Tunisia,Berkembang,2016,15.56
Tunisia,Berkembang,2017,15.33
Tunisia,Berkembang,2018,15.46
Tunisia,Berkembang,2019,15.13
Tunisia,Berkembang,2020,16.59
Tunisia,Berkembang,2021,16.82
Morocco,Berkembang,2010,9.09
Morocco,Berkembang,2011,8.91
Morocco,Berkembang,2012,8.99
Morocco,Berkembang,2013,9.23
Morocco,Berkembang,2014,9.7
Morocco,Berkembang,2015,9.46
Morocco,Berkembang,2016,9.3
Morocco,Berkembang,2017,9.24
Morocco,Berkembang,2018,9.27
Morocco,Berkembang,2019,9.28
Morocco,Berkembang,2020,11.45
Morocco,Berkembang,2021,11.47
Costa Rica,Berkembang,2010,7.17
Costa Rica,Berkembang,2011,10.14
Costa Rica,Berkembang,2012,9.78
Costa Rica,Berkembang,2013,8.77
Costa Rica,Berkembang,2014,9.06
Costa Rica,Berkembang,2015,9
Costa Rica,Berkembang,2016,8.6
Costa Rica,Berkembang,2017,8.14
Costa Rica,Berkembang,2018,9.63
Costa Rica,Berkembang,2019,11.49
Costa Rica,Berkembang,2020,17.41
Costa Rica,Berkembang,2021,17.95
Canada,Maju,2010,8.06
Canada,Maju,2011,7.51
Canada,Maju,2012,7.29
Canada,Maju,2013,7.07
Canada,Maju,2014,6.91
Canada,Maju,2015,6.91
Canada,Maju,2016,7
Canada,Maju,2017,6.34
Canada,Maju,2018,5.83
Canada,Maju,2019,5.66
Canada,Maju,2020,9.46
Canada,Maju,2021,7.51
Mexico,Berkembang,2010,5.3
Mexico,Berkembang,2011,5.17
Mexico,Berkembang,2012,4.89
Mexico,Berkembang,2013,4.91
Mexico,Berkembang,2014,4.81
Mexico,Berkembang,2015,4.31
Mexico,Berkembang,2016,3.86
Mexico,Berkembang,2017,3.42
Mexico,Berkembang,2018,3.28
Mexico,Berkembang,2019,3.48
Mexico,Berkembang,2020,4.45
Mexico,Berkembang,2021,4.38
Haiti,Berkembang,2010,15.38
Haiti,Berkembang,2011,14.53
Haiti,Berkembang,2012,14.1
Haiti,Berkembang,2013,14
Haiti,Berkembang,2014,13.95
Haiti,Berkembang,2015,13.96
Haiti,Berkembang,2016,13.93
Haiti,Berkembang,2017,13.88
Haiti,Berkembang,2018,13.86
Haiti,Berkembang,2019,13.91
Haiti,Berkembang,2020,15.45
Haiti,Berkembang,2021,15.73
Honduras,Berkembang,2010,4.12
Honduras,Berkembang,2011,4.47
Honduras,Berkembang,2012,3.75
Honduras,Berkembang,2013,5.65
Honduras,Berkembang,2014,7.08
Honduras,Berkembang,2015,6.15
Honduras,Berkembang,2016,6.73
Honduras,Berkembang,2017,5.53
Honduras,Berkembang,2018,5.65
Honduras,Berkembang,2019,5.7
Honduras,Berkembang,2020,8.37
Honduras,Berkembang,2021,8.51
Ecuador,Berkembang,2010,4.09
Ecuador,Berkembang,2011,3.46
Ecuador,Berkembang,2012,3.23
Ecuador,Berkembang,2013,3.08
Ecuador,Berkembang,2014,3.48
Ecuador,Berkembang,2015,3.62
Ecuador,Berkembang,2016,4.6
Ecuador,Berkembang,2017,3.84
Ecuador,Berkembang,2018,3.53
Ecuador,Berkembang,2019,3.81
Ecuador,Berkembang,2020,6.11
Ecuador,Berkembang,2021,6.43
Brazil,Berkembang,2010,7.27
Brazil,Berkembang,2011,6.92
Brazil,Berkembang,2012,7.19
Brazil,Berkembang,2013,6.98
Brazil,Berkembang,2014,6.66
Brazil,Berkembang,2015,8.43
Brazil,Berkembang,2016,11.6
Brazil,Berkembang,2017,12.82
Brazil,Berkembang,2018,12.33
Brazil,Berkembang,2019,11.93
Brazil,Berkembang,2020,13.69
Brazil,Berkembang,2021,14.4
Colombia,Berkembang,2010,10.98
Colombia,Berkembang,2011,10.11
Colombia,Berkembang,2012,9.74
Colombia,Berkembang,2013,9.05
Colombia,Berkembang,2014,8.57
Colombia,Berkembang,2015,8.3
Colombia,Berkembang,2016,8.69
Colombia,Berkembang,2017,8.87
Colombia,Berkembang,2018,9.11
Colombia,Berkembang,2019,9.96
Colombia,Berkembang,2020,15.04
Colombia,Berkembang,2021,14.34
Uruguay,Berkembang,2010,7.16
Uruguay,Berkembang,2011,6.31
Uruguay,Berkembang,2012,6.45
Uruguay,Berkembang,2013,6.44
Uruguay,Berkembang,2014,6.55
Uruguay,Berkembang,2015,7.49
Uruguay,Berkembang,2016,7.84
Uruguay,Berkembang,2017,7.89
Uruguay,Berkembang,2018,8.34
Uruguay,Berkembang,2019,8.88
Uruguay,Berkembang,2020,10.35
Uruguay,Berkembang,2021,10.45
Peru,Berkembang,2010,3.58
Peru,Berkembang,2011,3.48
Peru,Berkembang,2012,3.24
Peru,Berkembang,2013,3.57
Peru,Berkembang,2014,3.21
Peru,Berkembang,2015,3.27
Peru,Berkembang,2016,3.74
Peru,Berkembang,2017,3.69
Peru,Berkembang,2018,3.49
Peru,Berkembang,2019,3.38
Peru,Berkembang,2020,7.18
Peru,Berkembang,2021,4.83
Australia,Maju,2010,5.21
Australia,Maju,2011,5.08
Australia,Maju,2012,5.22
Australia,Maju,2013,5.66
Australia,Maju,2014,6.08
Australia,Maju,2015,6.05
Australia,Maju,2016,5.71
Australia,Maju,2017,5.59
Australia,Maju,2018,5.3
Australia,Maju,2019,5.16
Australia,Maju,2020,6.46
Australia,Maju,2021,5.11
New Zealand,Maju,2010,6.56
New Zealand,Maju,2011,6.49
New Zealand,Maju,2012,6.93
New Zealand,Maju,2013,5.84
New Zealand,Maju,2014,5.43
New Zealand,Maju,2015,5.41
New Zealand,Maju,2016,5.15
New Zealand,Maju,2017,4.74
New Zealand,Maju,2018,4.33
New Zealand,Maju,2019,4.11
New Zealand,Maju,2020,4.59
New Zealand,Maju,2021,4.12
Papua New Guinea,Berkembang,2010,2
Papua New Guinea,Berkembang,2011,2.62
Papua New Guinea,Berkembang,2012,2.54
Papua New Guinea,Berkembang,2013,2.55
Papua New Guinea,Berkembang,2014,2.38
Papua New Guinea,Berkembang,2015,2.48
Papua New Guinea,Berkembang,2016,2.48
Papua New Guinea,Berkembang,2017,2.51
Papua New Guinea,Berkembang,2018,2.56
Papua New Guinea,Berkembang,2019,2.45
Papua New Guinea,Berkembang,2020,2.6
Papua New Guinea,Berkembang,2021,2.75
Fiji,Berkembang,2010,4.31
Fiji,Berkembang,2011,4.41
Fiji,Berkembang,2012,4.42
Fiji,Berkembang,2013,4.33
Fiji,Berkembang,2014,4.29
Fiji,Berkembang,2015,4.3
Fiji,Berkembang,2016,4.32
Fiji,Berkembang,2017,4.28
Fiji,Berkembang,2018,4.33
Fiji,Berkembang,2019,4.45
Fiji,Berkembang,2020,4.72
Fiji,Berkembang,2021,5.24
Vanuatu,Berkembang,2010,1.85
Vanuatu,Berkembang,2011,1.81
Vanuatu,Berkembang,2012,1.85
Vanuatu,Berkembang,2013,1.86
Vanuatu,Berkembang,2014,1.81
Vanuatu,Berkembang,2015,1.86
Vanuatu,Berkembang,2016,1.78
Vanuatu,Berkembang,2017,1.75
Vanuatu,Berkembang,2018,1.81
Vanuatu,Berkembang,2019,1.8
Vanuatu,Berkembang,2020,2.12
Vanuatu,Berkembang,2021,2.18
Russian Federation,Berkembang,2010,7.37
Russian Federation,Berkembang,2011,6.54
Russian Federation,Berkembang,2012,5.44
Russian Federation,Berkembang,2013,5.46
Russian Federation,Berkembang,2014,5.16
Russian Federation,Berkembang,2015,5.57
Russian Federation,Berkembang,2016,5.56
Russian Federation,Berkembang,2017,5.21
Russian Federation,Berkembang,2018,4.85
Russian Federation,Berkembang,2019,4.5
Russian Federation,Berkembang,2020,5.59
Russian Federation,Berkembang,2021,5.01
Poland,Berkembang,2010,9.64
Poland,Berkembang,2011,9.63
Poland,Berkembang,2012,10.09
Poland,Berkembang,2013,10.33
Poland,Berkembang,2014,8.99
Poland,Berkembang,2015,7.5
Poland,Berkembang,2016,6.16
Poland,Berkembang,2017,4.89
Poland,Berkembang,2018,3.85
Poland,Berkembang,2019,3.28
Poland,Berkembang,2020,3.16
Poland,Berkembang,2021,3.37
Hungary,Berkembang,2010,11.17
Hungary,Berkembang,2011,11.03
Hungary,Berkembang,2012,11
Hungary,Berkembang,2013,10.18
Hungary,Berkembang,2014,7.73
Hungary,Berkembang,2015,6.81
Hungary,Berkembang,2016,5.11
Hungary,Berkembang,2017,4.16
Hungary,Berkembang,2018,3.71
Hungary,Berkembang,2019,3.42
Hungary,Berkembang,2020,4.25
Hungary,Berkembang,2021,4.12
United Kingdom,Maju,2010,7.79
United Kingdom,Maju,2011,8.04
United Kingdom,Maju,2012,7.88
United Kingdom,Maju,2013,7.52
United Kingdom,Maju,2014,6.11
United Kingdom,Maju,2015,5.3
United Kingdom,Maju,2016,4.81
United Kingdom,Maju,2017,4.33
United Kingdom,Maju,2018,4
United Kingdom,Maju,2019,3.74
United Kingdom,Maju,2020,4.47
United Kingdom,Maju,2021,4.53
Switzerland,Maju,2010,4.8
Switzerland,Maju,2011,4.4
Switzerland,Maju,2012,4.48
Switzerland,Maju,2013,4.75
Switzerland,Maju,2014,4.83
Switzerland,Maju,2015,4.8
Switzerland,Maju,2016,4.92
Switzerland,Maju,2017,4.8
Switzerland,Maju,2018,4.71
Switzerland,Maju,2019,4.39
Switzerland,Maju,2020,4.82
Switzerland,Maju,2021,5.32
