Negara,Status,Tahun,AHH
Ukraina,Berkembang,2020,73.2
Ukraina,Berkembang,2021,74.1
Argentina,Berkembang,2010,75.9
Argentina,Berkembang,2011,76
Argentina,Berkembang,2012,76.2
Argentina,Berkembang,2013,76.3
Argentina,Berkembang,2014,76.5
Argentina,Berkembang,2015,76.5
Argentina,Berkembang,2016,76.2
Argentina,Berkembang,2017,76.3
Argentina,Berkembang,2018,76.5
Argentina,Berkembang,2019,76.6
Argentina,Berkembang,2020,74.6
Argentina,Berkembang,2021,76.9
Brazil,Berkembang,2010,73.8
Brazil,Berkembang,2011,74
Brazil,Berkembang,2012,74.3
Brazil,Berkembang,2013,74.5
Brazil,Berkembang,2014,74.8
Brazil,Berkembang,2015,75
Brazil,Berkembang,2016,75
Brazil,Berkembang,2017,75.4
Brazil,Berkembang,2018,75.7
Brazil,Berkembang,2019,75.8
Brazil,Berkembang,2020,73.6
Brazil,Berkembang,2021,76.3
Chile,Berkembang,2010,78.6
Chile,Berkembang,2011,79
Chile,Berkembang,2012,79.2
Chile,Berkembang,2013,79.3
Chile,Berkembang,2014,79.5
Chile,Berkembang,2015,79.6
Chile,Berkembang,2016,80
Chile,Berkembang,2017,80
Chile,Berkembang,2018,80.1
Chile,Berkembang,2019,80.2
Chile,Berkembang,2020,79.1
Chile,Berkembang,2021,80.5
Meksiko,Berkembang,2010,75.3
Meksiko,Berkembang,2011,75.5
Meksiko,Berkembang,2012,75.7
Meksiko,Berkembang,2013,75.5
Meksiko,Berkembang,2014,75.6
Meksiko,Berkembang,2015,75.7
Meksiko,Berkembang,2016,75.5
Meksiko,Berkembang,2017,75.5
Meksiko,Berkembang,2018,75.5
Meksiko,Berkembang,2019,75.6
Meksiko,Berkembang,2020,73
Meksiko,Berkembang,2021,75.8
Kanada,Maju,2010,81.6
Kanada,Maju,2011,81.9
Kanada,Maju,2012,82
Kanada,Maju,2013,82.1
Kanada,Maju,2014,82.2
Kanada,Maju,2015,82.3
Kanada,Maju,2016,82.3
Kanada,Maju,2017,82.4
Kanada,Maju,2018,82.2
Kanada,Maju,2019,82.2
Kanada,Maju,2020,81.5
Kanada,Maju,2021,82.5
Venezuela,Berkembang,2010,75.3
Venezuela,Berkembang,2011,75.4
Venezuela,Berkembang,2012,75.2
Venezuela,Berkembang,2013,75.5
Venezuela,Berkembang,2014,75.6
Venezuela,Berkembang,2015,75.7
Venezuela,Berkembang,2016,75.6
Venezuela,Berkembang,2017,75.5
Venezuela,Berkembang,2018,75.4
Venezuela,Berkembang,2019,75
Venezuela,Berkembang,2020,75.1
Venezuela,Berkembang,2021,75.1
Iran,Berkembang,2010,75.5
Iran,Berkembang,2011,75.8
Iran,Berkembang,2012,76
Iran,Berkembang,2013,76.2
Iran,Berkembang,2014,76.5
Iran,Berkembang,2015,76.7
Iran,Berkembang,2016,77.1
Iran,Berkembang,2017,77.3
Iran,Berkembang,2018,77.6
Iran,Berkembang,2019,77.8
Iran,Berkembang,2020,76.2
Iran,Berkembang,2021,78.2
Iraq,Berkembang,2010,70.6
Iraq,Berkembang,2011,71
Iraq,Berkembang,2012,71.3
Iraq,Berkembang,2013,70.9
Iraq,Berkembang,2014,69.9
Iraq,Berkembang,2015,70.7
Iraq,Berkembang,2016,70.9
Iraq,Berkembang,2017,71.5
Iraq,Berkembang,2018,73.3
Iraq,Berkembang,2019,73.3
Iraq,Berkembang,2020,72.1
Iraq,Berkembang,2021,73.6
Kuwait,Berkembang,2010,80.1
Kuwait,Berkembang,2011,80.9
Kuwait,Berkembang,2012,81
Kuwait,Berkembang,2013,81.3
Kuwait,Berkembang,2014,81.6
Kuwait,Berkembang,2015,81.5
Kuwait,Berkembang,2016,81.6
Kuwait,Berkembang,2017,81.6
Kuwait,Berkembang,2018,81.6
Kuwait,Berkembang,2019,81.5
Kuwait,Berkembang,2020,81.2
Kuwait,Berkembang,2021,81.7
Oman,Berkembang,2010,70.4
Oman,Berkembang,2011,70.8
Oman,Berkembang,2012,71.5
Oman,Berkembang,2013,71.9
Oman,Berkembang,2014,72.3
Oman,Berkembang,2015,72.4
Oman,Berkembang,2016,72.6
Oman,Berkembang,2017,72.9
Oman,Berkembang,2018,73.6
Oman,Berkembang,2019,74
Oman,Berkembang,2020,72.7
Oman,Berkembang,2021,74.4
Qatar,Berkembang,2010,73.4
Qatar,Berkembang,2011,73.9
Qatar,Berkembang,2012,74.3
Qatar,Berkembang,2013,74.7
Qatar,Berkembang,2014,74.9
Qatar,Berkembang,2015,75.5
Qatar,Berkembang,2016,75.7
Qatar,Berkembang,2017,75.9
Qatar,Berkembang,2018,76.1
Qatar,Berkembang,2019,76.3
Qatar,Berkembang,2020,76.2
Qatar,Berkembang,2021,76.5
Arab Saudi,Berkembang,2010,71.8
Arab Saudi,Berkembang,2011,72.2
Arab Saudi,Berkembang,2012,72.6
Arab Saudi,Berkembang,2013,72.9
Arab Saudi,Berkembang,2014,73.2
Arab Saudi,Berkembang,2015,73.3
Arab Saudi,Berkembang,2016,73.7
Arab Saudi,Berkembang,2017,74
Arab Saudi,Berkembang,2018,74.3
Arab Saudi,Berkembang,2019,74.5
Arab Saudi,Berkembang,2020,74.3
Arab Saudi,Berkembang,2021,74.8
Mesir,Berkembang,2010,69.4
Mesir,Berkembang,2011,69.6
Mesir,Berkembang,2012,69.7
Mesir,Berkembang,2013,70.1
Mesir,Berkembang,2014,70.3
Mesir,Berkembang,2015,69.9
Mesir,Berkembang,2016,70.2
Mesir,Berkembang,2017,70.5
Mesir,Berkembang,2018,70.7
Mesir,Berkembang,2019,71
Mesir,Berkembang,2020,71
Mesir,Berkembang,2021,71.3
Maroko,Berkembang,2010,71.9
Maroko,Berkembang,2011,72.1
Maroko,Berkembang,2012,72.3
Maroko,Berkembang,2013,72.1
Maroko,Berkembang,2014,72.3
Maroko,Berkembang,2015,72.5
Maroko,Berkembang,2016,72.8
Maroko,Berkembang,2017,72.9
Maroko,Berkembang,2018,73.1
Maroko,Berkembang,2019,73.3
Maroko,Berkembang,2020,73
Maroko,Berkembang,2021,73.8
Afrika Selatan,Berkembang,2010,57.1
Afrika Selatan,Berkembang,2011,58.7
Afrika Selatan,Berkembang,2012,60.1
Afrika Selatan,Berkembang,2013,61.3
Afrika Selatan,Berkembang,2014,61.8
Afrika Selatan,Berkembang,2015,62.3
Afrika Selatan,Berkembang,2016,62.7
Afrika Selatan,Berkembang,2017,63.2
Afrika Selatan,Berkembang,2018,64.4
Afrika Selatan,Berkembang,2019,65.1
Afrika Selatan,Berkembang,2020,64.3
Afrika Selatan,Berkembang,2021,65.6
Kenya,Berkembang,2010,61.2
Kenya,Berkembang,2011,62
Kenya,Berkembang,2012,62.6
Kenya,Berkembang,2013,63.2
Kenya,Berkembang,2014,63.8
Kenya,Berkembang,2015,64.4
Kenya,Berkembang,2016,65.1
Kenya,Berkembang,2017,65.7
Kenya,Berkembang,2018,66.1
Kenya,Berkembang,2019,66.5
Kenya,Berkembang,2020,66.4
Kenya,Berkembang,2021,67
Afrika Tengah,Berkembang,2010,47.8
Afrika Tengah,Berkembang,2011,48.3
Afrika Tengah,Berkembang,2012,48.8
Afrika Tengah,Berkembang,2013,47.5
Afrika Tengah,Berkembang,2014,47.5
Afrika Tengah,Berkembang,2015,49.7
Afrika Tengah,Berkembang,2016,50.3
Afrika Tengah,Berkembang,2017,50.4
Afrika Tengah,Berkembang,2018,51.5
Afrika Tengah,Berkembang,2019,52.4
Afrika Tengah,Berkembang,2020,52.4
Afrika Tengah,Berkembang,2021,53.1
Nigeria,Berkembang,2010,59.6
Nigeria,Berkembang,2011,60.2
Nigeria,Berkembang,2012,60.7
Nigeria,Berkembang,2013,61.2
Nigeria,Berkembang,2014,61.6
Nigeria,Berkembang,2015,62.1
Nigeria,Berkembang,2016,62.7
Nigeria,Berkembang,2017,63.3
Nigeria,Berkembang,2018,63.8
Nigeria,Berkembang,2019,64.3
Nigeria,Berkembang,2020,64.5
Nigeria,Berkembang,2021,65.1
Australia,Maju,2010,82.1
Australia,Maju,2011,82.3
Australia,Maju,2012,82.6
Australia,Maju,2013,82.7
Australia,Maju,2014,82.7
Australia,Maju,2015,82.7
Australia,Maju,2016,83
Australia,Maju,2017,83
Australia,Maju,2018,82.9
Australia,Maju,2019,82.9
Australia,Maju,2020,82.9
Australia,Maju,2021,83.2
Indonesia,Berkembang,2010,69.3
Indonesia,Berkembang,2011,69.6
Indonesia,Berkembang,2012,69.8
Indonesia,Berkembang,2013,70
Indonesia,Berkembang,2014,70.2
Indonesia,Berkembang,2015,70.4
Indonesia,Berkembang,2016,70.7
Indonesia,Berkembang,2017,70.9
Indonesia,Berkembang,2018,71.1
Indonesia,Berkembang,2019,71.4
Indonesia,Berkembang,2020,71.4
Indonesia,Berkembang,2021,71.8
Korea Selatan,Maju,2010,80.8
Korea Selatan,Maju,2011,81.2
Korea Selatan,Maju,2012,81.5
Korea Selatan,Maju,2013,81.9
Korea Selatan,Maju,2014,82.3
Korea Selatan,Maju,2015,82.6
Korea Selatan,Maju,2016,82.8
Korea Selatan,Maju,2017,82.9
Korea Selatan,Maju,2018,82.9
Korea Selatan,Maju,2019,82.9
Korea Selatan,Maju,2020,82.8
Korea Selatan,Maju,2021,83.2
Malaysia,Berkembang,2010,74.4
Malaysia,Berkembang,2011,74.6
Malaysia,Berkembang,2012,74.8
Malaysia,Berkembang,2013,75.3
Malaysia,Berkembang,2014,75.1
Malaysia,Berkembang,2015,75
Malaysia,Berkembang,2016,75
Malaysia,Berkembang,2017,75.1
Malaysia,Berkembang,2018,75.2
Malaysia,Berkembang,2019,75
Malaysia,Berkembang,2020,75.1
Malaysia,Berkembang,2021,75.3
Selandia Baru,Maju,2010,80.9
Selandia Baru,Maju,2011,80.9
Selandia Baru,Maju,2012,81.2
Selandia Baru,Maju,2013,81.5
Selandia Baru,Maju,2014,81.5
Selandia Baru,Maju,2015,81.7
Selandia Baru,Maju,2016,81.9
Selandia Baru,Maju,2017,82
Selandia Baru,Maju,2018,81.8
Selandia Baru,Maju,2019,81.8
Selandia Baru,Maju,2020,81.8
Selandia Baru,Maju,2021,82.1
Pakistan,Berkembang,2010,63.3
Pakistan,Berkembang,2011,63.6
Pakistan,Berkembang,2012,63.8
Pakistan,Berkembang,2013,64
Pakistan,Berkembang,2014,64.2
Pakistan,Berkembang,2015,64.4
Pakistan,Berkembang,2016,64.7
Pakistan,Berkembang,2017,64.9
Pakistan,Berkembang,2018,65.5
Pakistan,Berkembang,2019,65.9
Pakistan,Berkembang,2020,65.9
Pakistan,Berkembang,2021,66.2
Azerbaijan,Berkembang,2010,69
Azerbaijan,Berkembang,2011,69.2
Azerbaijan,Berkembang,2012,69.5
Azerbaijan,Berkembang,2013,69.7
Azerbaijan,Berkembang,2014,69.9
Azerbaijan,Berkembang,2015,70.2
Azerbaijan,Berkembang,2016,70.3
Azerbaijan,Berkembang,2017,70.4
Azerbaijan,Berkembang,2018,70.8
Azerbaijan,Berkembang,2019,71
Azerbaijan,Berkembang,2020,70.4
Azerbaijan,Berkembang,2021,71.2
Belarus,Berkembang,2010,70.6
Belarus,Berkembang,2011,70.5
Belarus,Berkembang,2012,72.3
Belarus,Berkembang,2013,72.8
Belarus,Berkembang,2014,73.1
Belarus,Berkembang,2015,73.7
Belarus,Berkembang,2016,73.8
Belarus,Berkembang,2017,73.8
Belarus,Berkembang,2018,74
Belarus,Berkembang,2019,74
Belarus,Berkembang,2020,73.5
Belarus,Berkembang,2021,74.3
Kazakhstan,Berkembang,2010,67.6
Kazakhstan,Berkembang,2011,68.1
Kazakhstan,Berkembang,2012,68.6
Kazakhstan,Berkembang,2013,69.4
Kazakhstan,Berkembang,2014,70.1
Kazakhstan,Berkembang,2015,70.6
Kazakhstan,Berkembang,2016,71.1
Kazakhstan,Berkembang,2017,71.5
Kazakhstan,Berkembang,2018,71.7
Kazakhstan,Berkembang,2019,71.9
Kazakhstan,Berkembang,2020,71.2
Kazakhstan,Berkembang,2021,72.3
Rusia,Berkembang,2010,68.8
Rusia,Berkembang,2011,70
Rusia,Berkembang,2012,70.5
Rusia,Berkembang,2013,70.9
Rusia,Berkembang,2014,71
Rusia,Berkembang,2015,71.5
Rusia,Berkembang,2016,72
Rusia,Berkembang,2017,72.9
Rusia,Berkembang,2018,73
Rusia,Berkembang,2019,73
Rusia,Berkembang,2020,71.2
Rusia,Berkembang,2021,73.3
Turkmenistan,Berkembang,2010,69.5
Turkmenistan,Berkembang,2011,69.6
Turkmenistan,Berkembang,2012,69.8
Turkmenistan,Berkembang,2013,69.8
Turkmenistan,Berkembang,2014,69.9
Turkmenistan,Berkembang,2015,70
Turkmenistan,Berkembang,2016,70.3
Turkmenistan,Berkembang,2017,70.5
Turkmenistan,Berkembang,2018,70.6
Turkmenistan,Berkembang,2019,70.8
Turkmenistan,Berkembang,2020,70.9
Turkmenistan,Berkembang,2021,71.1
Uzbekistan,Berkembang,2010,66.5
Uzbekistan,Berkembang,2011,66.6
Uzbekistan,Berkembang,2012,66.7
Uzbekistan,Berkembang,2013,67
Uzbekistan,Berkembang,2014,67.2
Uzbekistan,Berkembang,2015,67.3
Uzbekistan,Berkembang,2016,67.6
Uzbekistan,Berkembang,2017,67.8
Uzbekistan,Berkembang,2018,68.1
Uzbekistan,Berkembang,2019,68.4
Uzbekistan,Berkembang,2020,68.4
Uzbekistan,Berkembang,2021,68.7
